,date,open,high,low,close,volume,tic,day
0,2011-01-03,8.63231086730957,8.728202819824219,8.6303129196167,5.265024185180664,576145,ABEV3.SA,0
1,2011-01-03,15.75,15.899999618530273,15.6899995803833,6.396246433258057,6626800,BBAS3.SA,0
2,2011-01-03,11.809762954711914,11.927362442016602,11.724237442016602,6.312849521636963,10862336,BBDC4.SA,0
3,2011-01-03,18.03155517578125,18.250118255615234,17.963253021240234,10.071956634521484,10014663,ITUB4.SA,0
4,2011-01-03,8.422694206237793,8.62990665435791,8.422694206237793,6.163041591644287,3652542,LREN3.SA,0
5,2011-01-03,27.5,27.579999923706055,26.90999984741211,7.711922645568848,22738500,PETR4.SA,0
6,2011-01-03,31.800199508666992,33.099998474121094,31.600000381469727,32.74740219116211,780000,PRIO3.SA,0
7,2011-01-03,7.706571102142334,7.878529071807861,7.508820056915283,6.165686130523682,4248486,RENT3.SA,0
8,2011-01-03,56.29999923706055,57.4900016784668,56.029998779296875,26.32283592224121,5107800,VALE3.SA,0
9,2011-01-03,3.25443696975708,3.3239641189575195,3.233726978302002,2.482738733291626,2290288,WEGE3.SA,0
10,2011-01-04,8.784140586853027,8.784140586853027,8.6303129196167,5.2662353515625,328368,ABEV3.SA,1
11,2011-01-04,15.75,15.895000457763672,15.569999694824219,6.422728061676025,7026600,BBAS3.SA,1
12,2011-01-04,11.866781234741211,11.955870628356934,11.731364250183105,6.371065616607666,11080374,BBDC4.SA,1
13,2011-01-04,18.077089309692383,18.31842041015625,18.03155517578125,10.153183937072754,12685182,ITUB4.SA,1
14,2011-01-04,8.595620155334473,8.595620155334473,8.327286720275879,6.0777587890625,4992814,LREN3.SA,1
15,2011-01-04,27.010000228881836,27.059999465942383,26.399999618530273,7.683361053466797,30936600,PETR4.SA,1
16,2011-01-04,33.0,33.79999923706055,32.900001525878906,33.54611587524414,280000,PRIO3.SA,1
17,2011-01-04,7.875662803649902,7.878529071807861,7.6807780265808105,6.123070240020752,1833590,RENT3.SA,1
18,2011-01-04,57.5,58.2599983215332,57.47999954223633,26.86804962158203,4104200,VALE3.SA,1
19,2011-01-04,3.2869820594787598,3.2928988933563232,3.1819519996643066,2.43981671333313,2618824,WEGE3.SA,1
20,2011-01-05,8.672266006469727,8.718214988708496,8.448516845703125,5.168196201324463,299836,ABEV3.SA,2
21,2011-01-05,15.699999809265137,16.045000076293945,15.65999984741211,6.514391899108887,8229600,BBAS3.SA,2
22,2011-01-05,11.824017524719238,12.112668991088867,11.770564079284668,6.489577293395996,14632682,BBDC4.SA,2
23,2011-01-05,18.122623443603516,18.50966453552246,18.004234313964844,10.305474281311035,12143831,ITUB4.SA,2
24,2011-01-05,8.291508674621582,8.49574089050293,8.291508674621582,6.029178619384766,4642653,LREN3.SA,2
25,2011-01-05,26.68000030517578,27.350000381469727,26.579999923706055,7.774759769439697,24306800,PETR4.SA,2
26,2011-01-05,33.59939956665039,33.599998474121094,32.41999816894531,32.36800765991211,430000,PRIO3.SA,2
27,2011-01-05,7.8154778480529785,8.05048656463623,7.743828773498535,6.280074119567871,2829416,RENT3.SA,2
28,2011-01-05,57.709999084472656,59.27000045776367,57.70000076293945,27.35319709777832,3288400,VALE3.SA,2
29,2011-01-05,3.195266008377075,3.233726978302002,3.1508870124816895,2.4070591926574707,3096756,WEGE3.SA,2
30,2011-01-06,8.560392379760742,8.590357780456543,8.396575927734375,5.119783401489258,731319,ABEV3.SA,3
31,2011-01-06,15.925000190734863,16.06999969482422,15.744999885559082,6.457359790802002,8915800,BBAS3.SA,3
32,2011-01-06,12.020015716552734,12.077033042907715,11.734928131103516,6.317543029785156,19405387,BBDC4.SA,3
33,2011-01-06,18.400381088256836,18.436809539794922,18.03155517578125,10.06180477142334,17066720,ITUB4.SA,3
34,2011-01-06,8.349648475646973,8.366045951843262,8.082804679870605,5.8834452629089355,8026202,LREN3.SA,3
35,2011-01-06,27.200000762939453,27.459999084472656,27.010000228881836,7.743343830108643,24328800,PETR4.SA,3
36,2011-01-06,32.400001525878906,32.400001525878906,30.899999618530273,31.449485778808594,650000,PRIO3.SA,3
37,2011-01-06,8.027559280395508,8.110671997070312,7.9759721755981445,6.324930667877197,2329060,RENT3.SA,3
38,2011-01-06,59.150001525878906,59.540000915527344,58.439998626708984,27.00204086303711,2986900,VALE3.SA,3
39,2011-01-06,3.17751407623291,3.1834309101104736,3.100590944290161,2.3810787200927734,2873676,WEGE3.SA,3
40,2011-01-07,8.450514793395996,8.550402641296387,8.368606567382812,5.0992045402526855,1090222,ABEV3.SA,4
41,2011-01-07,15.774999618530273,15.845000267028809,15.354999542236328,6.304581165313721,7306200,BBAS3.SA,4
42,2011-01-07,11.74561882019043,11.834709167480469,11.478348731994629,6.210495471954346,12611972,BBDC4.SA,4
43,2011-01-07,18.013341903686523,18.149944305419922,17.51246452331543,9.815589904785156,15259728,ITUB4.SA,4
44,2011-01-07,8.12454605102539,8.176721572875977,8.006776809692383,5.829465866088867,3792741,LREN3.SA,4
45,2011-01-07,27.020000457763672,27.18000030517578,26.729999542236328,7.634805679321289,17453800,PETR4.SA,4
46,2011-01-07,32.0,32.0,31.0,31.549325942993164,635000,PRIO3.SA,4
47,2011-01-07,8.073413848876953,8.073413848876953,7.898591041564941,6.215028762817383,3783022,RENT3.SA,4
48,2011-01-07,58.540000915527344,58.70000076293945,57.52000045776367,26.79874610900879,2775200,VALE3.SA,4
49,2011-01-07,3.1627209186553955,3.167159080505371,3.1124260425567627,2.384469509124756,3000764,WEGE3.SA,4
50,2011-01-10,8.450514793395996,8.462501525878906,8.290694236755371,5.082261562347412,1038163,ABEV3.SA,0
51,2011-01-10,15.3100004196167,15.5,15.210000038146973,6.314766883850098,7840400,BBAS3.SA,0
52,2011-01-10,11.556748390197754,11.59951114654541,11.378567695617676,6.221965789794922,15016003,BBDC4.SA,0
53,2011-01-10,17.51246452331543,17.749242782592773,17.293899536132812,9.894270896911621,10494522,ITUB4.SA,0
54,2011-01-10,8.102185249328613,8.172248840332031,7.951620101928711,5.765772342681885,6103670,LREN3.SA,0
55,2011-01-10,26.649999618530273,27.020000457763672,26.579999923706055,7.706211090087891,14366200,PETR4.SA,0
56,2011-01-10,31.879199981689453,32.70000076293945,31.600000381469727,32.64756393432617,1100000,PRIO3.SA,0
57,2011-01-10,7.912920951843262,7.924384117126465,7.763889789581299,6.143257141113281,2032127,RENT3.SA,0
58,2011-01-10,57.630001068115234,58.439998626708984,57.45000076293945,26.74791717529297,2833200,VALE3.SA,0
59,2011-01-10,3.134614944458008,3.1582839488983154,3.1139049530029297,2.385598659515381,965328,WEGE3.SA,0
60,2011-01-11,8.428540229797363,8.530425071716309,8.326654434204102,5.091943264007568,1083214,ABEV3.SA,1
61,2011-01-11,15.600000381469727,15.734999656677246,15.5649995803833,6.39013671875,6900200,BBAS3.SA,1
62,2011-01-11,11.685036659240723,11.74205493927002,11.617328643798828,6.254461765289307,12737968,BBDC4.SA,1
63,2011-01-11,17.876737594604492,18.013341903686523,17.803884506225586,9.955194473266602,12173918,ITUB4.SA,1
64,2011-01-11,8.050008773803711,8.08727741241455,7.968018054962158,5.8316240310668945,7852463,LREN3.SA,1
65,2011-01-11,27.100000381469727,27.399999618530273,27.06999969482422,7.75476598739624,23190100,PETR4.SA,1
66,2011-01-11,33.19580078125,33.39979934692383,32.400001525878906,33.04692077636719,1655000,PRIO3.SA,1
67,2011-01-11,7.778220176696777,8.162259101867676,7.778220176696777,6.358573913574219,3519586,RENT3.SA,1
68,2011-01-11,58.439998626708984,59.0,58.349998474121094,27.02976417541504,2793300,VALE3.SA,1
69,2011-01-11,3.1139049530029297,3.1834309101104736,3.1139049530029297,2.42287278175354,2217956,WEGE3.SA,1
70,2011-01-12,8.320660591125488,8.320660591125488,8.09091854095459,4.932178974151611,728817,ABEV3.SA,2
71,2011-01-12,15.824999809265137,15.994999885559082,15.78499984741211,6.502169609069824,6093200,BBAS3.SA,2
72,2011-01-12,11.74205493927002,11.888162612915039,11.724237442016602,6.376796722412109,15200086,BBDC4.SA,2
73,2011-01-12,18.027000427246094,18.327526092529297,17.95870018005371,10.21663761138916,12297781,ITUB4.SA,2
74,2011-01-12,8.12454605102539,8.137962341308594,7.826396942138672,5.767932891845703,14700728,LREN3.SA,2
75,2011-01-12,27.3799991607666,27.979999542236328,27.31999969482422,7.968987941741943,39193500,PETR4.SA,2
76,2011-01-12,33.100399017333984,34.7400016784668,33.100399017333984,33.94547653198242,2465000,PRIO3.SA,2
77,2011-01-12,8.110671997070312,8.153660774230957,8.082012176513672,6.358573913574219,1678319,RENT3.SA,2
78,2011-01-12,59.06999969482422,60.20000076293945,59.0,27.778282165527344,4895100,VALE3.SA,2
79,2011-01-12,3.165679931640625,3.2189340591430664,3.153846025466919,2.451112747192383,2109120,WEGE3.SA,2
80,2011-01-13,8.284701347351074,8.284701347351074,8.050963401794434,4.889817237854004,545111,ABEV3.SA,3
81,2011-01-13,16.0,16.0,15.75,6.436985492706299,6412000,BBAS3.SA,3
82,2011-01-13,11.934489250183105,11.955870628356934,11.74205493927002,6.298430442810059,12014261,BBDC4.SA,3
83,2011-01-13,18.395828247070312,18.409488677978516,18.086196899414062,10.168407440185547,8709272,ITUB4.SA,3
